Sequence,Ax_min,Ay_min,Az_min,Ax_max,Ay_max,Az_max,Ax_mean,Ay_mean,Az_mean,Ax_median,Ay_median,Az_median,Ax_std_dev,Ay_std_dev,Az_std_dev,Ax_range,Ay_range,Az_range,Ax_energy,Ay_energy,Az_energy,Ax_skewness,Ay_skewness,Az_skewness,Ax_kurtosis,Ay_kurtosis,Az_kurtosis,Ax_rms,Ay_rms,Az_rms,Ax_iqr,Ay_iqr,Az_iqr,Gx_min,Gy_min,Gz_min,Gx_max,Gy_max,Gz_max,Gx_mean,Gy_mean,Gz_mean,Gx_median,Gy_median,Gz_median,Gx_std_dev,Gy_std_dev,Gz_std_dev,Gx_range,Gy_range,Gz_range,Gx_energy,Gy_energy,Gz_energy,Gx_skewness,Gy_skewness,Gz_skewness,Gx_kurtosis,Gy_kurtosis,Gz_kurtosis,Gx_rms,Gy_rms,Gz_rms,Gx_iqr,Gy_iqr,Gz_iqr,Mx_min,My_min,Mz_min,Mx_max,My_max,Mz_max,Mx_mean,My_mean,Mz_mean,Mx_median,My_median,Mz_median,Mx_std_dev,My_std_dev,Mz_std_dev,Mx_range,My_range,Mz_range,Mx_energy,My_energy,Mz_energy,Mx_skewness,My_skewness,Mz_skewness,Mx_kurtosis,My_kurtosis,Mz_kurtosis,Mx_rms,My_rms,Mz_rms,Mx_iqr,My_iqr,Mz_iqr
44,-0.09887695,0.4034424,0.1747192,0.1601563,0.151334,0.5023193,5.34288,-0.1909106,1.735431,0.2311467,0.2528076,0.8894043,1.492188,1.309796,1.348511,0.1511471,0.6027832,173.8412899,3.272799,1.318488,0.168457,0.09509277,0.618042,0.3618994,0.3713989,0.105779,0.5229492,14.21604,-0.3890215,3.722828,0.3770416,0.1102295,109.7371,229.5828,145.3403,132.6647,34.42184,119.8457,2230866.0,1.359476,3.547129,149.3608,26.25106,-161.6859,-95.84519,-133.2217,-135.8835,21.46436,65.84075,1820875.0,0.360133,1.734452,134.9398,41.08504,117.6849,244.9626,192.689,206.229,51.40741,127.2777,3977179.0,-0.228846,1.291494,199.4286,109.7745,0.4073486,0.4073486,0.4073486,0.4073486,0.0,0.0,16.59329,0,0,0.4073486,0.0,-0.09863281,-0.09863281,-0.09863281,-0.09863281,0.0,0.0,0.9728432,0,0,0.09863281,0.0,-0.1016846,-0.1016846,-0.1016846,-0.1016846,0.0,0.0,1.033974,0,0,0.1016845,0.0,
50,-0.3780518,0.6850586,0.2738049,0.374939,0.3722529,1.06311,21.35414,-0.4417536,1.703503,0.4621054,0.741333,0.2248535,1.202148,0.897904,1.096558,0.3197154,0.9772949,90.84497,-0.8346322,2.1337,0.9531263,0.5158691,1.962036,2.663086,2.327761,2.290161,0.2333375,0.7010498,547.2918,0.472546,2.339427,0.4882813,-68.19595,96.05454,36.24031,64.24446,47.93227,164.2505,361086.2,-0.8614887,2.263567,60.09045,70.54367,-116.5709,-6.886139,-75.9471,-95.66575,40.23631,109.6848,738692.2,0.5709924,1.640773,85.9472,78.09525,-190.4418,21.33133,-53.89866,-19.99672,73.24334,211.7731,826965.3,-0.5001029,1.557739,90.93763,145.1099,-0.04980469,-0.04980469,-0.04980469,-0.04980469,0.0,0.0,0.2480507,0,0,0.04980469,0.0,0.08630371,0.08630371,0.08630371,0.08630371,0.0,0.0,0.7448321,0,0,0.08630365,0.0,-0.1964111,-0.1964111,-0.1964111,-0.1964111,0.0,0.0,3.857732,0,0,0.1964111,0.0,
52,-0.2518311,0.1881104,-0.01067749,0.005737305,0.114121,0.4399414,1.313761,-0.5458961,2.507487,0.1146194,0.1702881,-0.9613037,-0.6378174,-0.7698865,-0.7631836,0.08739832,0.3234863,60.03637,-0.6300701,2.551851,0.7748314,0.1099854,0.8083496,1.317383,1.013219,0.9785767,0.1609527,0.5090332,105.2519,0.6806519,2.253048,1.025923,0.2253418,-106.6193,64.56223,-12.20065,18.17612,53.24028,171.1815,298338.3,-0.2764527,1.434259,54.62036,107.0006,-30.21378,31.79886,-5.600124,-15.08072,20.97374,62.01264,47125.92,0.5595863,1.634631,21.70851,46.28891,-84.27109,244.9626,71.7999,10.81146,106.1484,329.2337,1642271.0,0.3494589,1.674519,128.1511,181.2752,-0.08093262,-0.08093262,-0.08093262,-0.08093262,0.0,0.0,0.6550079,0,0,0.08093256,0.0,0.04968262,0.04968262,0.04968262,0.04968262,0.0,0.0,0.2468362,0,0968262,0.0,-0.111084,-0.111084,-0.111084,-0.111084,0.0,0.0,1.233964,0,0,0.1110839,0.0,
56,0.3875732,0.7479248,0.5854663,0.6212769,0.1142601,0.3603516,35.5807529,1.57917,0.5965116,0.2427979,-0.0246582,0.4730225,0.1888782,0.1863403,0.1422194,0.4976807,5.59013,0.1297705,1.972143,0.2364346,0.2285156,-1.821411,-0.6745605,-1.435559,-1.445496,0.2645444,1.146851,213.0814,0.691534,3.112412,1.459731,0.2896729,-186.4417,-64.20334,-139.4038,-136.362,33.37357,122.2383,2054722.0,0.4707316,2.289067,143.343,54.31152,-164.0411,244.9626,49.04262,30.56892,139.8756,409.0038,2197037.0,0.1093559,1.543291,148.224,275.1465,-20.83786,6.116028,-5.252233,-5.487976,6.563941,26.95389,7067.126,2925497,2.971233,8.40662,6.759033,0.3588867,0.3588867,0.3588867,0.3588867,0.0,0.0,12.87995,0,0,0.3588865,0.0,0.4863281,0.4863281,0.4863281,0.4863281,0.0,0.0,23.6515,0,0,0.4863281,0.0,0.06030273,0.06030273,0.06030273,0.06030273,0.0,0.0,0.363642,0,0,0.06030273,0.0,
58,0.5949707,0.7194824,0.6339331,0.62323,0.03299891,0.1245117,40.29602,1.080262,3.076729,0.6347914,0.04956055,-0.4595947,0.1668701,-0.09832397,-0.06695557,0.216034,0.6264648,5.633829,-0.2687995,1.556519,0.2373569,0.3562012,-1.456421,-0.6901855,-1.174657,-1.253479,0.2314389,0.7662354,143.3383,0.6249931,2.068279,1.19724,0.3814697,-90.2002,-14.20593,-69.72678,-82.06543,21.63377,75.99427,532984.0,0.9231096,2.698226,73.00575,32.38205,-104.0173,70.3418,-11.99623,12.11243,59.63183,174.3591,369986.6,-0.2786527,1.501659,60.82652,115.1877,-41.42899,-12.27692,-28.43475,-36.67747,11.95047,29.15207,95134.850.2768353,1.235982,30.84394,25.38376,0.3110352,0.3110352,0.3110352,0.3110352,0.0,0.0,9.674273,0,0,0.31109,0.0,0.3098145,0.3098145,0.3098145,0.3098145,0.0,0.0,9.598502,0,0,0.3098145,0.0,-0.1580811,-0.1580811,-0.1580811,-0.1580811,0.0,0.0,2.498961,0,0,0.158081,0.0,
59,1.31665,1.87207,1.522535,1.452209,0.17274,0.5554199,234.7953,0.9130725.457728,1.532303,0.2418213,-0.7237549,-0.171875,-0.4000696,-0.3115234,0.1837245,0.5518799,19.38103,-0.6232402,1.799406,0.4402389,0.3354492,0.05834961,0.3123779,0.1770142,0.1765747,0.07116007,0.2540283,3.639777,0.3762626,2.468212,0.190782,0.08190918,-36.22513,48.56186,-9.535622,-13.03955,18.79223,84.78699,44407.61,1.346717,4.65578,21.07311,10.66193,6.587067,36.3298,21.52356,21.62292,9.526896,29.74274,55402.54,0.02595029,1.727252,23.53774,16.28448,19.69391,74.86526,60.33416,64.96597,14.30649,55.17136,384488.7,-1.96,4.310235,62.00716,10.39276,0.2790527,0.2790527,0.2790527,0.2790527,0.0,0.0,7.787038,0,0,0.2790526,0.0,0.3688965,0.3688965,0.3688965,0.3688965,0.0,0.0,13.60846,0,0,0.3688964,0.0,-0.1583252,-0.1583252,-0.1583252,-0.1583252,0.0,0.0,2.506685,0,0,0.1583251,0.0,
60,1.233032,1.984131,1.662725,1.609741,0.2537456,0.7510986,282.9041,-7119,1.591867,1.681975,0.4776611,-0.6594238,-0.4090576,-0.583252,-0.6033325,0.06967677,0.2503662,34.50377,1.159316,3.272611,0.5873991,0.06860352,0.1292725,0.7756348,0.4510193,0.3713989,0.2317861,0.6463623,25.71432,0.1350124,1.488853,0.5070929,0.4637451,-26.73706,9.846954,-7.418416,-10.00397,12.05318,36.58401,20031.21-0.005591916,1.607852,14.15316,24.92767,-15.14053,42.87201,25.73562,30.41939,13.48114,58.01254,84406.3,-1.392818,4.420079,29.05276,12.17224,9.114227,82.30469,42.66654,34.28864,29.75554,73.19046,270582.7,0.2018448,1.252159,52.01756,63.14163,0.326416,0.326416,0.326416,0.326416,0.0,0.0,10.65474,0,0,0.326415,0.0,0.43396,0.43396,0.43396,0.43396,0.0,0.0,18.83213,0,0,0.43396,0.0,-0.1206055,-0.1206055,-0.1206055,-0.1206055,0.0,0.0,1.454568,0,0,0.1206055,0.0,
64,-0.411377,-0.09069824,-0.2880835,-0.2992554,0.0868769,0.3206787,9.053972,0.3978077,2.098342,0.3008982,0.1269531,0.3918457,0.6264648,0.4943604,0.4506836,0.08036548,0.2346191,25.08508,0.5811158,1.637418,0.5008501,0.15271,1.064941,1.588745,1.265011,1.209778,0.1735794,0.5238037,163.0383,0.7014771,2.067419,1.276864,0.2706299,-243.6392,79.59061,-16.41832,56.92841,107.4079,323.2299,1180602.0,-0.7522213,2.11326,108.6555,173.0806,-199.1672,81.37009,-33.81312,-35.13351,83.14802,280.5373,805691.6-0.3197831,1.829038,89.76032,148.923,-21.41357,14.07883,5.106136,7.757187,7.601296,35.4924,8385.232,-1.877845,5.871103,9.157091,4.037476,0.3638916,0.3638916,0.3638916,0.3638916,0.0,0.0,13.2417,0,0,0.3638915,0.0,0.4273682,0.4273682,0.4273682,0.4273682,0.0,0.0,18.26437,0,0,0.4273684,0.0,0.05664063,0.05664063,0.05664063,0.05664063,0.0,0.0,0.320816,0,0,0.05664063,0.0,
67,-0.5594482,0.4931641,-0.05718994,-0.02435303,0.3558591,1.052612,12.99064,-0.01957516,1.244376,0.3604253,0.6844482,-0.0135498,0.434082,0.2268274,0.2401123,0.1192196,0.4476318,6.5663885425,2.340074,0.2562499,0.161499,-0.6174316,1.391113,0.4715064,0.4855957,0.5749379,2.008545,55.2872,-0.1717898,2.076584,0.7435536,0.8984375,-133.2741,-64.18091,-101.5205,-96.64895,23.2253,69.09317,1084583.0,0.08445461,1.520187,104.1433,37.92237,244.9626,244.9626,244.9628,244.9626,0.0001220703,0.0,6000667.0,-1.0,1.0,244.9626,0.0,-92.23389,36.50925,-39.39119,-61.10421,41.93698,128.7431,331037.7,0.5174533,1.608396,57.53588,82.13272,0.2679443,0.3937988,0.3875061,0.3937988,0.02742938,0.1258545,15.09135,-4.129453,18.05247,0.3884759,0.0,0.04760742,0.3795166,0.3629211,0.3795166,0.07233807,0.3319092,13.69444,-4.129449,18.05245,0.37006,0.0,-0.2122803,-0.02783203,-0.03705444,-0.02783203,0.04019959,0.1844482,0.2989037,-4.129476,18.05265,0.05467208,0.0,
68,-0.4125977,0.8365479,0.3109021,0.3761597,0.3775089,1.249146,23.91731,-0.3679233,1.887883,0.4890533,0.7124023,-0.05432129,0.3374023,0.1621216,0.1713867,0.09839099,0.3917236,3.596419,-0.2717691,2.221126,0.1896423,0.1583252,-0.7044678,0.5633545,-0.04585449,0.01989746,0.3580113,1.267822,13.02748,-0.1523034,2.029874,0.360936,0.5456543,-63.58277,43.61221,-26.79911,-30.61753,32.60752,107.195,178144.3,0.5006589,1.870289,42.20714,59.12659,-245.0,-245.0,-245.0,-245.0,0.0,0.0,6002501.0,0,0,245.0,0.0,56.18821,137.1844,103.4314,102.4734,22.11879,80.99625,1118729.0,-0.1565167,1.983527,105.77,40.47196,0.3937988,0.3937988,0.3937988,0.3937988,0.0,0.0,15.50777,0,0,0.3937991,0.0,0.3795166,0.3795166,0.3795166,0.3795166,0.0,0.0,14.40327,0,0,0.3795165,0.0,-0.02783203,-0.02783203,-0.02783203,-0.02783203,0.0,0.0,0.0774622,,0.02783203,0.0,
69,-0.4530029,0.004272461,-0.264458,-0.2637939,0.1161507,0.4572754,8.342901,0.1372607,2.162906,0.2888408,0.2050781,0.05480957,0.4429932,0.2811841,0.3175659,0.1155275,0.3881836,9.241108,-0.5867282,2.047351,0.3039919,0.1937256,-0.1029053,1.374268,0.8971155,1.086731,0.4212176,1.477173,98.22404,-1.016194,2.714664,0.9910805,0.5296631,-115.4569,-47.5824,-88.89508,-102.0285,24.94028,67.87445,852434.7,0.5448148,1.547918,92.32738,52.15821,244.9626,244.9626,244.9628,244.9626,0.0001220703,0.0,6000667.0,-1.0,1.0,244.9626,0.0,-32.23251,57.76581,15.01768,20.49767,34.26797,89.99832,139982.4,-0.1600358,1.403575,37.41423,75.3737,0.08105469,0.08105469,0.08105469,0.08105469,0.0,0.0,0.6569862,0,0,0.08105469,0.0,0.4234619,0.4234619,0.4234619,0.4234619,0.0,0.0,17.93201,0,0,0.423462,0.0,-0.04418945,-0.04418945,-0.04418945,-0.04418945,0.0,0.0,0.1952708,0,0.04418945,0.0,
70,-0.002319336,0.878418,0.5972375,0.6982422,0.2648856,0.8807373,42.68573,-188,2.278577,0.6533432,0.4481201,-0.08764648,0.3417969,0.06938598,0.05236816,0.1008009,0.4294434,1.497522,0.6061319,3.10051,0.1223733,0.1182861,-0.2254639,0.5118408,0.1208984,0.0524292,0.2179166,0.7373047,6.210407,0.2858274,1.842194,0.2492069,0.3493652,-80.6897,-33.18954,-61.50675,-59.34342,12.55212,47.50015,394063.7,0.190016,2.046269,62.77449,20.91262,-245.0,-186.008,-239.8341,-245.0,13.71805,58.992,5770856.0,2.724992,9.231984,240.2261,0.0,-67.45575,154.1942,45.27813,54.10592,65.60684,221.6499,635436.5,-0.142274,1.84768,79.71427,107.4866,0.401123,0.401123,0.401123,0.401123,0.0,0.0,16.08999,0,0,0.4011233,0.0,0.4018555,0.4018555,0.4018555,0.4018555,0.0,0.0,16.14876,0,0,0.4018553,0.0,0.04187012,0.04187012,0.04187012,0.04187012,0.0,0.0,0.1753107,0,00.04187012,0.0,
74,-0.3470459,0.1517334,-0.04821899,-0.03900146,0.1279428,0.4987793,1-0.5001009,2.882746,0.1367276,0.1577148,-0.6647949,0.07775879,-0.3421729,-0.3361816,0.2024884,0.7425537,15.80838,0.237062,2.341304,0.3975976,0.3062744,0.5915527,1.018066,0.8322619,0.8624268,0.1197381,0.4265137,70.69971,-0.3685797,2.030431,0.8408312,0.1759033,-245.0,-89.95347,-201.2184,-236.6148,56.58806,155.0465,4369104.0,0.9236793,2.221495,209.024,88.7198,-79.65042,43.38791,-16.15985,-8.744125,36.86533,123.0383,162019.3,-0.1677305,2.022978,40.25162,56.12091,92.2638,244.9626,216.1164,244.9626,49.0257,152.6988,4910978.0,-1.425067,3.437899,221.6073,41.35422,-0.005981445,-0.005981445,-0.005981445,-0.005981445,0.0,0.0,0.003577769,0,0,0.005981445,0.0,0.3852539,0.3852539,0.3852539,0.3852539,0.0,0.0,14.84204,0,0,0.3852537,0.0,-0.02062988,-0.02062988,-0.02062988,-0.02062988,0.0,0.0,0.0425592,0,0,0.02062988,0.0,
